transaction_id,transaction_time,customer_id,merchant,category,amount,is_fraud,risk_level
34,2024-01-01 10:48:00,369,Netflix,Electronics,1926.36,0,MEDIUM
35,2024-01-01 10:49:00,363,Uber,Transport,5336.37,0,HIGH
36,2024-01-01 10:50:00,349,Netflix,Transport,1406.14,0,MEDIUM
37,2024-01-01 10:51:00,138,Apple,Food,3622.04,1,HIGH
38,2024-01-01 10:52:00,360,Walmart,Food,1947.14,0,MEDIUM
39,2024-01-01 10:53:00,259,Netflix,Transport,307.29,1,LOW
40,2024-01-01 10:54:00,363,Flipkart,Grocery,221.85,0,LOW
41,2024-01-01 10:55:00,238,Netflix,Subscription,1135.58,0,MEDIUM
42,2024-01-01 10:56:00,133,Flipkart,Transport,5977.57,0,HIGH
43,2024-01-01 10:57:00,213,Apple,Food,1775.09,0,MEDIUM
44,2024-01-01 10:58:00,114,Walmart,Shopping,5427.11,1,HIGH
45,2024-01-01 10:59:00,145,Apple,Transport,1050.01,0,MEDIUM
46,2024-01-01 11:00:00,212,Uber,Shopping,5675.95,1,HIGH
47,2024-01-01 11:01:00,115,Flipkart,Transport,562.54,0,LOW
48,2024-01-01 11:02:00,110,Amazon,Transport,4523.99,1,HIGH
49,2024-01-01 11:03:00,190,Netflix,Food,2780.99,0,MEDIUM
50,2024-01-01 11:04:00,197,Uber,Subscription,1969.6,1,MEDIUM
51,2024-01-01 11:05:00,223,Amazon,Grocery,5612.36,0,HIGH
52,2024-01-01 11:06:00,390,Apple,Transport,1455.61,0,MEDIUM
53,2024-01-01 11:07:00,401,Netflix,Subscription,2377.82,1,MEDIUM
54,2024-01-01 11:08:00,223,Amazon,Grocery,657.04,0,LOW
55,2024-01-01 11:09:00,117,Amazon,Grocery,2957.43,0,MEDIUM
56,2024-01-01 11:10:00,349,Amazon,Transport,2414.14,0,MEDIUM
57,2024-01-01 11:11:00,285,Apple,Electronics,2010.09,0,MEDIUM
58,2024-01-01 11:12:00,260,Netflix,Subscription,1336.06,0,MEDIUM
59,2024-01-01 11:13:00,432,Uber,Shopping,751.4,0,LOW
60,2024-01-01 11:14:00,399,Swiggy,Food,3279.88,0,HIGH
61,2024-01-01 11:15:00,119,Amazon,Grocery,4361.52,0,HIGH
62,2024-01-01 11:16:00,173,Amazon,Grocery,3135.94,1,HIGH
63,2024-01-01 11:17:00,155,Netflix,Shopping,5008.23,1,HIGH
64,2024-01-01 11:18:00,139,Amazon,Subscription,5429.92,1,HIGH
65,2024-01-01 11:19:00,307,Netflix,Food,444.51,1,LOW
66,2024-01-01 11:20:00,393,Flipkart,Food,679.53,1,LOW
67,2024-01-01 11:21:00,176,Apple,Electronics,1733.25,0,MEDIUM
68,2024-01-01 11:22:00,278,Walmart,Transport,2199.34,0,MEDIUM
69,2024-01-01 11:23:00,266,Swiggy,Electronics,3740.99,0,HIGH
70,2024-01-01 11:24:00,448,Walmart,Grocery,327.02,0,LOW
71,2024-01-01 11:25:00,499,Swiggy,Grocery,370.09,1,LOW
72,2024-01-01 11:26:00,313,Amazon,Food,5491.73,0,HIGH
73,2024-01-01 11:27:00,350,Walmart,Shopping,3174.78,0,HIGH
74,2024-01-01 11:28:00,155,Uber,Subscription,4078.62,1,HIGH
75,2024-01-01 11:29:00,405,Apple,Transport,4930.98,1,HIGH
76,2024-01-01 11:30:00,372,Walmart,Subscription,4962.57,1,HIGH
77,2024-01-01 11:31:00,377,Walmart,Transport,4166.99,1,HIGH
78,2024-01-01 11:32:00,308,Amazon,Shopping,4511.05,1,HIGH
79,2024-01-01 11:33:00,476,Uber,Food,4774.87,1,HIGH
80,2024-01-01 11:34:00,210,Amazon,Subscription,2778.27,1,MEDIUM
81,2024-01-01 11:35:00,461,Netflix,Subscription,3012.22,1,HIGH
82,2024-01-01 11:36:00,239,Netflix,Grocery,2818.83,0,MEDIUM
83,2024-01-01 11:37:00,405,Apple,Grocery,2806.47,1,MEDIUM
84,2024-01-01 11:38:00,185,Apple,Grocery,3261.98,0,HIGH
85,2024-01-01 11:39:00,310,Walmart,Electronics,938.01,0,LOW
86,2024-01-01 11:40:00,340,Walmart,Electronics,5416.95,1,HIGH
87,2024-01-01 11:41:00,238,Amazon,Food,867.53,0,LOW
88,2024-01-01 11:42:00,231,Amazon,Shopping,698.85,1,LOW
89,2024-01-01 11:43:00,496,Netflix,Grocery,2557.32,0,MEDIUM
90,2024-01-01 11:44:00,360,Amazon,Subscription,4625.52,0,HIGH
91,2024-01-01 11:45:00,108,Walmart,Food,4257.96,0,HIGH
92,2024-01-01 11:46:00,127,Flipkart,Food,235.99,1,LOW
93,2024-01-01 11:47:00,116,Apple,Food,940.66,1,LOW
94,2024-01-01 11:48:00,440,Amazon,Grocery,3708.54,0,HIGH
95,2024-01-01 11:49:00,438,Uber,Shopping,3698.01,0,HIGH
96,2024-01-01 11:50:00,178,Netflix,Electronics,4170.44,1,HIGH
97,2024-01-01 11:51:00,224,Uber,Food,239.35,1,LOW
98,2024-01-01 11:52:00,409,Uber,Transport,1994.12,1,MEDIUM
99,2024-01-01 11:53:00,474,Flipkart,Electronics,5586.13,0,HIGH
100,2024-01-01 11:54:00,485,Apple,Shopping,4946.73,0,HIGH
101,2024-01-01 11:55:00,127,Swiggy,Food,4698.03,1,HIGH
102,2024-01-01 11:56:00,413,Apple,Electronics,3922.18,1,HIGH
103,2024-01-01 11:57:00,339,Flipkart,Transport,162.41,1,LOW
104,2024-01-01 11:58:00,294,Netflix,Subscription,4911.8,1,HIGH
105,2024-01-01 11:59:00,259,Apple,Subscription,5969.99,0,HIGH
106,2024-01-01 12:00:00,380,Flipkart,Shopping,4693.08,1,HIGH
107,2024-01-01 12:01:00,491,Amazon,Subscription,2095.07,1,MEDIUM
108,2024-01-01 12:02:00,157,Swiggy,Electronics,3293.77,1,HIGH
109,2024-01-01 12:03:00,276,Flipkart,Food,4919.97,0,HIGH
110,2024-01-01 12:04:00,334,Swiggy,Subscription,2688.52,1,MEDIUM
111,2024-01-01 12:05:00,208,Flipkart,Food,3146.88,1,HIGH
112,2024-01-01 12:06:00,365,Uber,Shopping,4961.42,0,HIGH
113,2024-01-01 12:07:00,439,Walmart,Shopping,3566.46,1,HIGH
114,2024-01-01 12:08:00,288,Swiggy,Transport,5036.46,1,HIGH
115,2024-01-01 12:09:00,321,Flipkart,Electronics,5854.09,1,HIGH
116,2024-01-01 12:10:00,213,Uber,Electronics,5316.34,1,HIGH
117,2024-01-01 12:11:00,137,Apple,Shopping,3453.63,1,HIGH
118,2024-01-01 12:12:00,348,Swiggy,Transport,3571.4,1,HIGH
119,2024-01-01 12:13:00,280,Walmart,Electronics,665.96,1,LOW
120,2024-01-01 12:14:00,402,Netflix,Transport,5136.23,1,HIGH
121,2024-01-01 12:15:00,431,Uber,Subscription,580.83,0,LOW
122,2024-01-01 12:16:00,190,Uber,Transport,4001.46,1,HIGH
123,2024-01-01 12:17:00,117,Uber,Shopping,649.77,0,LOW
124,2024-01-01 12:18:00,185,Netflix,Shopping,359.09,1,LOW
125,2024-01-01 12:19:00,103,Apple,Transport,2036.27,0,MEDIUM
126,2024-01-01 12:20:00,461,Apple,Transport,1364.84,0,MEDIUM
127,2024-01-01 12:21:00,359,Flipkart,Shopping,1752.12,0,MEDIUM
128,2024-01-01 12:22:00,465,Walmart,Shopping,638.39,0,LOW
129,2024-01-01 12:23:00,196,Amazon,Transport,1697.54,0,MEDIUM
130,2024-01-01 12:24:00,117,Swiggy,Food,5784.46,0,HIGH
131,2024-01-01 12:25:00,220,Walmart,Subscription,637.75,0,LOW
132,2024-01-01 12:26:00,353,Amazon,Grocery,1047.21,1,MEDIUM
133,2024-01-01 12:27:00,181,Swiggy,Subscription,1746.03,0,MEDIUM
134,2024-01-01 12:28:00,204,Swiggy,Grocery,178.56,0,LOW
135,2024-01-01 12:29:00,152,Amazon,Shopping,4384.23,0,HIGH
136,2024-01-01 12:30:00,138,Walmart,Transport,3519.84,0,HIGH
137,2024-01-01 12:31:00,477,Walmart,Food,1339.69,1,MEDIUM
138,2024-01-01 12:32:00,248,Swiggy,Food,3879.58,1,HIGH
139,2024-01-01 12:33:00,496,Swiggy,Electronics,2735.09,0,MEDIUM
140,2024-01-01 12:34:00,150,Apple,Transport,4546.13,1,HIGH
141,2024-01-01 12:35:00,222,Swiggy,Food,5549.43,0,HIGH
142,2024-01-01 12:36:00,112,Swiggy,Transport,5152.99,1,HIGH
143,2024-01-01 12:37:00,182,Uber,Subscription,219.11,1,LOW
144,2024-01-01 12:38:00,234,Apple,Subscription,5222.2,1,HIGH
145,2024-01-01 12:39:00,350,Flipkart,Subscription,2631.87,0,MEDIUM
146,2024-01-01 12:40:00,118,Apple,Subscription,1262.3,1,MEDIUM
147,2024-01-01 12:41:00,302,Apple,Shopping,2262.76,0,MEDIUM
148,2024-01-01 12:42:00,143,Walmart,Food,1055.94,0,MEDIUM
149,2024-01-01 12:43:00,296,Apple,Shopping,1845.95,0,MEDIUM
150,2024-01-01 12:44:00,295,Swiggy,Food,1138.66,0,MEDIUM
151,2024-01-01 12:45:00,400,Flipkart,Shopping,400.77,0,LOW
152,2024-01-01 12:46:00,218,Amazon,Shopping,3893.17,0,HIGH
153,2024-01-01 12:47:00,201,Flipkart,Grocery,5372.8,0,HIGH
154,2024-01-01 12:48:00,199,Apple,Food,769.18,1,LOW
155,2024-01-01 12:49:00,249,Apple,Food,2867.17,1,MEDIUM
156,2024-01-01 12:50:00,301,Amazon,Transport,5003.55,0,HIGH
157,2024-01-01 12:51:00,379,Netflix,Shopping,4401.9,0,HIGH
158,2024-01-01 12:52:00,268,Apple,Transport,5168.67,1,HIGH
159,2024-01-01 12:53:00,114,Amazon,Shopping,2227.44,1,MEDIUM
160,2024-01-01 12:54:00,150,Flipkart,Grocery,697.95,1,LOW
161,2024-01-01 12:55:00,175,Netflix,Transport,3162.81,0,HIGH
162,2024-01-01 12:56:00,437,Walmart,Transport,5256.48,0,HIGH
163,2024-01-01 12:57:00,240,Uber,Grocery,1245.95,1,MEDIUM
164,2024-01-01 12:58:00,221,Uber,Subscription,1902.34,1,MEDIUM
165,2024-01-01 12:59:00,295,Uber,Subscription,3583.87,0,HIGH
166,2024-01-01 13:00:00,295,Amazon,Grocery,5075.64,0,HIGH
167,2024-01-01 13:01:00,183,Apple,Electronics,3940.97,1,HIGH
168,2024-01-01 13:02:00,416,Amazon,Shopping,2833.54,1,MEDIUM
169,2024-01-01 13:03:00,243,Flipkart,Shopping,1333.71,1,MEDIUM
170,2024-01-01 13:04:00,492,Amazon,Shopping,2625.58,0,MEDIUM
171,2024-01-01 13:05:00,361,Walmart,Transport,696.98,0,LOW
172,2024-01-01 13:06:00,224,Uber,Shopping,5324.14,0,HIGH
173,2024-01-01 13:07:00,487,Walmart,Transport,3276.09,0,HIGH
174,2024-01-01 13:08:00,216,Flipkart,Grocery,71.42,1,LOW
175,2024-01-01 13:09:00,479,Walmart,Food,2417.44,1,MEDIUM
176,2024-01-01 13:10:00,254,Flipkart,Subscription,459.74,0,LOW
177,2024-01-01 13:11:00,157,Walmart,Transport,2833.84,0,MEDIUM
178,2024-01-01 13:12:00,474,Uber,Transport,2295.81,0,MEDIUM
179,2024-01-01 13:13:00,102,Swiggy,Subscription,1018.21,0,MEDIUM
180,2024-01-01 13:14:00,383,Flipkart,Transport,5962.52,0,HIGH
181,2024-01-01 13:15:00,322,Amazon,Subscription,1391.47,0,MEDIUM
182,2024-01-01 13:16:00,218,Netflix,Subscription,637.06,1,LOW
183,2024-01-01 13:17:00,150,Swiggy,Subscription,30.2,0,LOW
184,2024-01-01 13:18:00,163,Netflix,Electronics,250.74,0,LOW
185,2024-01-01 13:19:00,419,Netflix,Electronics,713.45,0,LOW
186,2024-01-01 13:20:00,291,Walmart,Transport,5220.07,0,HIGH
187,2024-01-01 13:21:00,284,Walmart,Grocery,3778.83,0,HIGH
188,2024-01-01 13:22:00,196,Netflix,Subscription,4232.58,1,HIGH
189,2024-01-01 13:23:00,353,Walmart,Transport,1367.87,1,MEDIUM
190,2024-01-01 13:24:00,120,Flipkart,Electronics,2557.91,1,MEDIUM
191,2024-01-01 13:25:00,339,Amazon,Subscription,460.52,0,LOW
192,2024-01-01 13:26:00,165,Flipkart,Food,1787.83,0,MEDIUM
193,2024-01-01 13:27:00,333,Apple,Subscription,5356.67,0,HIGH
194,2024-01-01 13:28:00,232,Swiggy,Grocery,1021.76,0,MEDIUM
195,2024-01-01 13:29:00,165,Amazon,Shopping,1487.53,1,MEDIUM
196,2024-01-01 13:30:00,176,Amazon,Grocery,1378.39,0,MEDIUM
197,2024-01-01 13:31:00,202,Swiggy,Food,5552,0,HIGH
198,2024-01-01 13:32:00,232,Uber,Grocery,5433.96,0,HIGH
199,2024-01-01 13:33:00,223,Uber,Grocery,4728.24,1,HIGH
200,2024-01-01 13:34:00,435,Walmart,Grocery,2496.88,1,MEDIUM
201,2024-01-01 13:35:00,495,Walmart,Grocery,4116.88,1,HIGH
202,2024-01-01 13:36:00,291,Netflix,Transport,3337.88,0,HIGH
203,2024-01-01 13:37:00,312,Uber,Electronics,4676.95,1,HIGH
204,2024-01-01 13:38:00,262,Flipkart,Subscription,5544.37,1,HIGH
205,2024-01-01 13:39:00,303,Flipkart,Subscription,2868.23,1,MEDIUM
206,2024-01-01 13:40:00,146,Amazon,Electronics,3507.18,1,HIGH
207,2024-01-01 13:41:00,272,Flipkart,Grocery,2216.45,0,MEDIUM
208,2024-01-01 13:42:00,471,Netflix,Electronics,4343.94,1,HIGH
209,2024-01-01 13:43:00,354,Netflix,Shopping,4491.4,0,HIGH
210,2024-01-01 13:44:00,251,Walmart,Subscription,3964.06,1,HIGH
211,2024-01-01 13:45:00,297,Apple,Food,436.58,1,LOW
212,2024-01-01 13:46:00,118,Swiggy,Shopping,2775.77,1,MEDIUM
213,2024-01-01 13:47:00,181,Amazon,Electronics,666.83,0,LOW
214,2024-01-01 13:48:00,338,Netflix,Transport,4137.46,0,HIGH
215,2024-01-01 13:49:00,198,Flipkart,Grocery,959.87,0,LOW
216,2024-01-01 13:50:00,298,Walmart,Food,3001.4,1,HIGH
217,2024-01-01 13:51:00,412,Netflix,Transport,1497.23,0,MEDIUM
218,2024-01-01 13:52:00,237,Apple,Electronics,3874.53,1,HIGH
219,2024-01-01 13:53:00,416,Netflix,Food,1404.36,0,MEDIUM
220,2024-01-01 13:54:00,444,Netflix,Subscription,400.26,1,LOW
221,2024-01-01 13:55:00,485,Netflix,Electronics,2158.08,0,MEDIUM
222,2024-01-01 13:56:00,329,Apple,Food,4768.61,0,HIGH
223,2024-01-01 13:57:00,448,Uber,Transport,4977.95,0,HIGH
224,2024-01-01 13:58:00,499,Walmart,Shopping,1692.11,1,MEDIUM
225,2024-01-01 13:59:00,306,Walmart,Shopping,5384.85,1,HIGH
226,2024-01-01 14:00:00,355,Walmart,Food,4712.5,0,HIGH
227,2024-01-01 14:01:00,291,Apple,Electronics,3755.41,1,HIGH
228,2024-01-01 14:02:00,140,Flipkart,Grocery,5762.87,1,HIGH
229,2024-01-01 14:03:00,455,Uber,Electronics,324.9,1,LOW
230,2024-01-01 14:04:00,486,Netflix,Grocery,4714.06,1,HIGH
231,2024-01-01 14:05:00,163,Netflix,Shopping,3920.88,0,HIGH
232,2024-01-01 14:06:00,349,Flipkart,Food,3426.32,1,HIGH
233,2024-01-01 14:07:00,134,Apple,Grocery,3349.09,1,HIGH
234,2024-01-01 14:08:00,137,Walmart,Shopping,1833.5,1,MEDIUM
235,2024-01-01 14:09:00,140,Flipkart,Electronics,4198.94,1,HIGH
236,2024-01-01 14:10:00,271,Swiggy,Subscription,2770,0,MEDIUM
237,2024-01-01 14:11:00,262,Flipkart,Food,711.35,1,LOW
238,2024-01-01 14:12:00,202,Netflix,Transport,3602.38,0,HIGH
239,2024-01-01 14:13:00,227,Walmart,Electronics,5799.27,0,HIGH
240,2024-01-01 14:14:00,261,Swiggy,Electronics,2840.58,1,MEDIUM
241,2024-01-01 14:15:00,457,Netflix,Subscription,373.49,1,LOW
242,2024-01-01 14:16:00,191,Uber,Shopping,3485.65,0,HIGH
243,2024-01-01 14:17:00,183,Flipkart,Subscription,5512.64,0,HIGH
244,2024-01-01 14:18:00,257,Uber,Food,2197.35,1,MEDIUM
245,2024-01-01 14:19:00,480,Netflix,Food,2991.33,1,MEDIUM
246,2024-01-01 14:20:00,157,Flipkart,Transport,5816.66,0,HIGH
247,2024-01-01 14:21:00,128,Apple,Food,1080.22,0,MEDIUM
248,2024-01-01 14:22:00,418,Netflix,Subscription,347.64,1,LOW
249,2024-01-01 14:23:00,149,Uber,Subscription,3867.77,0,HIGH
250,2024-01-01 14:24:00,186,Amazon,Transport,218.9,0,LOW
251,2024-01-01 14:25:00,173,Uber,Electronics,1638.65,1,MEDIUM
252,2024-01-01 14:26:00,241,Swiggy,Grocery,3235.97,0,HIGH
253,2024-01-01 14:27:00,311,Amazon,Food,4710.57,0,HIGH
254,2024-01-01 14:28:00,375,Apple,Transport,3766.16,1,HIGH
255,2024-01-01 14:29:00,274,Flipkart,Food,5911.06,1,HIGH
256,2024-01-01 14:30:00,377,Amazon,Shopping,2811.31,1,MEDIUM
257,2024-01-01 14:31:00,141,Swiggy,Food,4242.46,1,HIGH
258,2024-01-01 14:32:00,178,Uber,Subscription,2099.74,0,MEDIUM
259,2024-01-01 14:33:00,318,Netflix,Subscription,859.81,1,LOW
260,2024-01-01 14:34:00,466,Amazon,Shopping,5225.89,0,HIGH
261,2024-01-01 14:35:00,284,Amazon,Electronics,2102.47,0,MEDIUM
262,2024-01-01 14:36:00,391,Amazon,Shopping,4320.77,1,HIGH
263,2024-01-01 14:37:00,266,Amazon,Grocery,3758.97,0,HIGH
264,2024-01-01 14:38:00,156,Netflix,Grocery,457.93,1,LOW
265,2024-01-01 14:39:00,400,Walmart,Transport,5064.8,1,HIGH
266,2024-01-01 14:40:00,388,Uber,Transport,4828.5,0,HIGH
267,2024-01-01 14:41:00,173,Uber,Subscription,3086.47,1,HIGH
268,2024-01-01 14:42:00,202,Swiggy,Subscription,44.12,1,LOW
269,2024-01-01 14:43:00,385,Amazon,Grocery,375.26,1,LOW
270,2024-01-01 14:44:00,256,Uber,Food,2252.17,0,MEDIUM
271,2024-01-01 14:45:00,180,Swiggy,Electronics,2222.23,0,MEDIUM
272,2024-01-01 14:46:00,168,Apple,Grocery,1228.92,0,MEDIUM
273,2024-01-01 14:47:00,400,Walmart,Electronics,1952.68,0,MEDIUM
274,2024-01-01 14:48:00,254,Apple,Electronics,5335.42,0,HIGH
275,2024-01-01 14:49:00,184,Apple,Food,4771.28,0,HIGH
276,2024-01-01 14:50:00,468,Flipkart,Subscription,3103.13,1,HIGH
277,2024-01-01 14:51:00,362,Walmart,Shopping,5371.13,1,HIGH
278,2024-01-01 14:52:00,461,Apple,Transport,4009.05,1,HIGH
279,2024-01-01 14:53:00,368,Flipkart,Subscription,3303.02,1,HIGH
280,2024-01-01 14:54:00,301,Amazon,Subscription,1295.1,1,MEDIUM
281,2024-01-01 14:55:00,257,Netflix,Subscription,2847.29,1,MEDIUM
282,2024-01-01 14:56:00,474,Amazon,Food,2946.62,0,MEDIUM
283,2024-01-01 14:57:00,254,Netflix,Subscription,4477.61,0,HIGH
284,2024-01-01 14:58:00,470,Flipkart,Food,2430.55,0,MEDIUM
285,2024-01-01 14:59:00,183,Netflix,Shopping,5995,1,HIGH
286,2024-01-01 15:00:00,136,Netflix,Shopping,2670.6,0,MEDIUM
287,2024-01-01 15:01:00,205,Flipkart,Subscription,4905.58,1,HIGH
288,2024-01-01 15:02:00,139,Apple,Shopping,5934.42,0,HIGH
289,2024-01-01 15:03:00,137,Apple,Subscription,3820.13,1,HIGH
290,2024-01-01 15:04:00,226,Uber,Shopping,1704.65,1,MEDIUM
291,2024-01-01 15:05:00,212,Swiggy,Food,1625.67,1,MEDIUM
292,2024-01-01 15:06:00,222,Swiggy,Grocery,776.85,0,LOW
293,2024-01-01 15:07:00,355,Amazon,Grocery,307.18,0,LOW
294,2024-01-01 15:08:00,203,Swiggy,Transport,4405.88,0,HIGH
295,2024-01-01 15:09:00,321,Apple,Transport,2835.61,0,MEDIUM
296,2024-01-01 15:10:00,407,Swiggy,Food,492.35,1,LOW
297,2024-01-01 15:11:00,134,Flipkart,Subscription,4055.83,0,HIGH
298,2024-01-01 15:12:00,331,Walmart,Subscription,930.58,0,LOW
299,2024-01-01 15:13:00,354,Swiggy,Transport,438.77,1,LOW
300,2024-01-01 15:14:00,262,Netflix,Subscription,3223.96,0,HIGH
301,2024-01-01 15:15:00,305,Swiggy,Food,5683.02,0,HIGH
302,2024-01-01 15:16:00,219,Uber,Electronics,4283.37,1,HIGH
303,2024-01-01 15:17:00,129,Swiggy,Transport,73.94,1,LOW
304,2024-01-01 15:18:00,224,Uber,Food,625.15,1,LOW
305,2024-01-01 15:19:00,434,Walmart,Transport,1164.16,0,MEDIUM
306,2024-01-01 15:20:00,315,Apple,Grocery,4611.1,0,HIGH
307,2024-01-01 15:21:00,343,Uber,Transport,2614.46,0,MEDIUM
308,2024-01-01 15:22:00,320,Apple,Subscription,2251.38,1,MEDIUM
309,2024-01-01 15:23:00,326,Walmart,Grocery,942.43,0,LOW
310,2024-01-01 15:24:00,206,Uber,Subscription,2759.31,0,MEDIUM
311,2024-01-01 15:25:00,189,Uber,Electronics,1599.54,0,MEDIUM
312,2024-01-01 15:26:00,468,Netflix,Electronics,551.87,0,LOW
313,2024-01-01 15:27:00,138,Swiggy,Transport,5466.38,0,HIGH
314,2024-01-01 15:28:00,329,Uber,Food,3700.33,0,HIGH
315,2024-01-01 15:29:00,442,Uber,Electronics,3742.83,1,HIGH
316,2024-01-01 15:30:00,468,Amazon,Subscription,1717.57,1,MEDIUM
317,2024-01-01 15:31:00,290,Walmart,Subscription,1831.12,1,MEDIUM
318,2024-01-01 15:32:00,406,Amazon,Grocery,5685.17,0,HIGH
319,2024-01-01 15:33:00,222,Apple,Shopping,4534.61,0,HIGH
320,2024-01-01 15:34:00,420,Amazon,Shopping,5510.75,1,HIGH
321,2024-01-01 15:35:00,390,Walmart,Electronics,5410,1,HIGH
322,2024-01-01 15:36:00,113,Uber,Shopping,916.53,1,LOW
323,2024-01-01 15:37:00,348,Netflix,Electronics,3994.55,1,HIGH
324,2024-01-01 15:38:00,391,Amazon,Electronics,2723.67,0,MEDIUM
325,2024-01-01 15:39:00,424,Amazon,Shopping,4773.75,1,HIGH
326,2024-01-01 15:40:00,438,Uber,Transport,171.14,0,LOW
327,2024-01-01 15:41:00,113,Walmart,Food,883.68,1,LOW
328,2024-01-01 15:42:00,203,Amazon,Transport,143.12,0,LOW
329,2024-01-01 15:43:00,356,Amazon,Food,3750.57,0,HIGH
330,2024-01-01 15:44:00,143,Swiggy,Grocery,5125.68,0,HIGH
331,2024-01-01 15:45:00,213,Uber,Transport,3104.43,1,HIGH
332,2024-01-01 15:46:00,133,Netflix,Transport,1816.4,1,MEDIUM
333,2024-01-01 15:47:00,353,Apple,Food,3280.7,1,HIGH
334,2024-01-01 15:48:00,223,Swiggy,Subscription,2133.46,0,MEDIUM
335,2024-01-01 15:49:00,122,Uber,Transport,5639.23,1,HIGH
336,2024-01-01 15:50:00,384,Uber,Grocery,3.68,0,LOW
337,2024-01-01 15:51:00,312,Swiggy,Transport,5658.73,1,HIGH
338,2024-01-01 15:52:00,138,Apple,Subscription,1897.27,0,MEDIUM
339,2024-01-01 15:53:00,127,Netflix,Electronics,5171.99,1,HIGH
340,2024-01-01 15:54:00,129,Uber,Grocery,5490.83,0,HIGH
341,2024-01-01 15:55:00,327,Apple,Grocery,913.04,1,LOW
342,2024-01-01 15:56:00,331,Apple,Electronics,2875.8,1,MEDIUM
343,2024-01-01 15:57:00,227,Swiggy,Shopping,4535.78,0,HIGH
344,2024-01-01 15:58:00,230,Netflix,Food,4922.9,0,HIGH
345,2024-01-01 15:59:00,191,Uber,Electronics,3397.12,1,HIGH
346,2024-01-01 16:00:00,289,Swiggy,Food,4309.8,1,HIGH
347,2024-01-01 16:01:00,433,Walmart,Transport,305.08,1,LOW
348,2024-01-01 16:02:00,489,Apple,Electronics,458.8,1,LOW
349,2024-01-01 16:03:00,199,Netflix,Grocery,205.93,0,LOW
350,2024-01-01 16:04:00,317,Walmart,Electronics,3525.2,0,HIGH
351,2024-01-01 16:05:00,236,Amazon,Electronics,5211,0,HIGH
352,2024-01-01 16:06:00,223,Walmart,Food,4420.25,1,HIGH
353,2024-01-01 16:07:00,437,Netflix,Grocery,3712.05,1,HIGH
354,2024-01-01 16:08:00,181,Flipkart,Grocery,1606.72,1,MEDIUM
355,2024-01-01 16:09:00,161,Amazon,Subscription,5623.28,1,HIGH
356,2024-01-01 16:10:00,355,Swiggy,Electronics,634.13,0,LOW
357,2024-01-01 16:11:00,293,Uber,Grocery,2446.02,1,MEDIUM
358,2024-01-01 16:12:00,122,Swiggy,Shopping,3669.28,0,HIGH
359,2024-01-01 16:13:00,384,Apple,Transport,5062.42,0,HIGH
360,2024-01-01 16:14:00,105,Walmart,Shopping,881.96,1,LOW
